,fr_number,v_id,v_bbox,lp_bbox,lp_bbox_score,lp,lp_score
0,0,5,"[252.07601928710938, 549.6202392578125, 575.8872680664062, 830.0827026367188]","[355.4010314941406, 719.619140625, 461.6276550292969, 760.1126708984375]",0.4671148955821991,KNI5ZZ,0.14344403306664258
1,0,2,"[858.7146606445312, 616.114501953125, 1221.7525634765625, 915.2742309570312]","[986.8820190429688, 815.9974365234375, 1114.755615234375, 849.2803955078125]",0.33388593792915344,APOSJEO,0.3407319870855145
2,0,3,"[980.7061767578125, 900.4325561523438, 1461.8397216796875, 1205.5289306640625]","[1159.7911376953125, 1149.2432861328125, 1293.81201171875, 1204.4459228515625]",0.3087675869464874,LHIJVCM,0.23404903200921198
3,1,5,"[252.11460278559866, 549.6452530102526, 575.8846459415513, 830.064280022764]","[355.40081787109375, 719.6344604492188, 461.5819091796875, 760.1017456054688]",0.4671199917793274,KNI5ZZ,0.14344403306664258
4,1,2,"[858.4844545261479, 616.0321937067034, 1221.9412698341116, 915.2408891346585]","[986.96044921875, 816.00048828125, 1114.767578125, 849.2636108398438]",0.33350321650505066,APOSJEO,0.3859730847098657
5,1,3,"[980.7313426363543, 900.4754747630882, 1461.7524892470753, 1205.5394124808618]","[1159.7852783203125, 1149.1611328125, 1293.97021484375, 1204.4822998046875]",0.3073539733886719,LHIJYCV,0.4056265256460862
6,2,5,"[252.0693792846115, 549.6147175445177, 575.8981812888352, 830.1041072798565]","[355.51629638671875, 719.6675415039062, 461.61749267578125, 760.1365356445312]",0.46756964921951294,KNOSZZR,0.07112246187143062
7,2,2,"[858.3735940702186, 616.0541602149467, 1222.0488827136764, 915.2799541872337]","[987.1072998046875, 815.9970703125, 1114.693603515625, 849.276123046875]",0.33293068408966064,APOSJEO,0.542916264112398
8,2,3,"[980.8782300976031, 900.4811413778303, 1461.935004341898, 1205.5249416797474]","[1160.0576171875, 1149.122314453125, 1293.8375244140625, 1204.3929443359375]",0.3079110383987427,LHIJVCV,0.7043029538012243
9,3,5,"[251.91572972634643, 549.567868758543, 575.8404483723123, 830.0763376439565]","[355.5184326171875, 719.661376953125, 461.6175537109375, 760.1478881835938]",0.46779945492744446,KNOSZZR,0.07112246187143062
10,3,2,"[858.4034383725784, 616.0629241388591, 1222.2174879519025, 915.2809345423651]","[987.0888061523438, 815.9815063476562, 1114.7269287109375, 849.2883911132812]",0.33427390456199646,IPOSLEO,0.4906862482724658
11,3,3,"[980.9130120005311, 900.4863994547529, 1461.9269614409409, 1205.4548370616924]","[1159.9608154296875, 1149.064208984375, 1293.926513671875, 1204.4522705078125]",0.3060348629951477,LHIJYCV,0.32832211258378013
12,4,5,"[252.0439369826178, 549.5747566658656, 575.9744012478463, 830.1086113372569]","[355.6439208984375, 719.7103271484375, 461.62921142578125, 760.0800170898438]",0.46644851565361023,KNISZZ,0.21990287800077
13,4,2,"[858.0782307037222, 616.0692077518935, 1222.2559912791198, 915.3934698824895]","[987.1815185546875, 815.9989624023438, 1114.65576171875, 849.2579345703125]",0.33431366086006165,APOSJEO,0.542916264112398
14,4,3,"[980.8884502057509, 900.5004427412005, 1461.8854839778428, 1205.5136591519]","[1159.917236328125, 1149.1038818359375, 1293.2008056640625, 1204.4000244140625]",0.30791398882865906,LHIJYCV,0.4000168431504196
15,5,5,"[251.88924239805195, 549.5389312275006, 576.0276910973198, 830.1241679323759]","[355.689697265625, 719.6895751953125, 461.5141906738281, 760.0597534179688]",0.4659912586212158,KNISZZ,0.35649235447436445
16,5,2,"[857.865957807924, 616.0077257139069, 1222.3340336963502, 915.3053019993315]","[986.9608764648438, 815.946044921875, 1114.747802734375, 849.323974609375]",0.337054967880249,POSLEO,0.5642816147450016
17,5,3,"[980.9533711567352, 900.4674940951061, 1461.9957685020381, 1205.4676365253697]","[1159.9481201171875, 1149.0738525390625, 1293.50244140625, 1204.4141845703125]",0.3051692843437195,LHIJYCV,0.32314843515184793
18,6,5,"[251.95183393222956, 549.5814578725963, 576.0867396907129, 830.1634141416548]","[355.657958984375, 719.7396850585938, 461.45111083984375, 760.0427856445312]",0.4652668237686157,KNISZZ,0.17061904897055458
19,6,2,"[857.3564975413321, 616.0344385506322, 1222.0764111599444, 915.2737542862307]","[986.9635620117188, 815.958984375, 1114.6944580078125, 849.3004150390625]",0.33519768714904785,IPOSLEO,0.389169317929441
